bytes_transferred,packet_count,connection_duration,source_port,destination_port,retransmission_rate,timestamp,protocol,bytes_per_packet,packets_per_second
600433.6565773834,1030.502399805207,22.782624466627468,51316,443,0.020638531650282226,2024-01-01 00:00:00,SSH,553.7058606478281,45.54204684865107
492560.9867793703,785.5003068944494,31.76820872139398,60682,80,0.008616186114442521,2024-01-01 00:01:00,HTTPS,550.1288704104951,27.42296064920204
585795.9841216118,1102.0949418321231,24.533199154127345,39522,21,0.032099492585587114,2024-01-01 00:02:00,UDP,576.0195547422793,42.25658644829766
777189.1154255635,1327.7504776283736,27.28344889673947,44516,21,0.03102289374929152,2024-01-01 00:03:00,SSH,626.3638112307825,42.62618751436152
477050.05654444406,992.3639799307393,46.734520902985366,12796,443,0.008558508555829396,2024-01-01 00:04:00,FTP,458.16125642861505,21.71110351604986
442506.27591810084,926.2653481622539,43.40461051790348,24873,3306,0.013622050948834716,2024-01-01 00:05:00,HTTP,459.28649182257004,23.31958506904844
713758.3740384243,803.729814803315,17.004187630724026,50060,80,0.014500497805595234,2024-01-01 00:06:00,HTTP,933.4679434714068,46.42400512163493
552380.4210587536,801.3420156198396,38.29732417879175,59555,21,0.026098515437996152,2024-01-01 00:07:00,HTTP,767.8097446410745,20.91868666841127
380410.74331203726,508.76504812762187,38.11396554491592,54647,80,0.024947251804539966,2024-01-01 00:08:00,FTP,741.6525932511504,15.197012700699016
564137.122364529,1448.2193793193715,18.517367112473817,13964,21,0.020444072127863564,2024-01-01 00:09:00,TCP,381.2671598129776,82.34826331918887
480174.83665677183,738.9506553661795,38.18777643754861,53515,3306,0.02273857280399125,2024-01-01 00:10:00,FTP,686.756810577834,16.41470354807737
385656.98502566427,685.3847871023702,45.37931918412553,17956,5432,0.007123678035544666,2024-01-01 00:11:00,TCP,543.0186758670127,17.455714517161116
581148.3920800086,730.3001853763003,18.774551937555863,30793,21,0.023813612813584528,2024-01-01 00:12:00,HTTP,683.6322542679734,41.78410344696444
195990.01470254222,1148.13517386312,20.824971789857365,57851,5432,0.018991146244539295,2024-01-01 00:13:00,HTTPS,167.924141097616,60.911358050488886
198158.32398394274,833.0974671439033,40.17661466843502,62455,21,0.013209568174414106,2024-01-01 00:14:00,HTTPS,264.6827529748601,22.687702884746248
438376.66512719647,1313.0997932048933,32.71495310825648,25672,22,0.00467493726069681,2024-01-01 00:15:00,TCP,302.44490196109274,42.00900478916699
404768.73122502567,833.7315886305779,35.514762752395235,48435,3306,0.02026961156186352,2024-01-01 00:16:00,HTTP,436.2104204637874,22.46820057028321
500316.6588801532,1225.5069409376968,33.40589216400497,33990,443,0.023569598962178098,2024-01-01 00:17:00,FTP,504.8795645487335,32.44033248226884
306685.051937936,764.6327205843415,33.90695920928144,28801,5432,0.002975181982934127,2024-01-01 00:18:00,HTTPS,485.45287801594475,22.101536129991235
301263.0155525723,1531.0635242136755,16.73527871688917,60149,443,0.0201848607065643,2024-01-01 00:19:00,TCP,175.32497782332683,98.20838757070466
653392.8687182282,742.8479650992101,40.47317706621448,33591,3306,0.021222397518484957,2024-01-01 00:20:00,FTP,1118.2607111120965,15.904866406657764
491148.45266322716,866.8633463908742,41.69589992427774,50747,443,0.014457704568523393,2024-01-01 00:21:00,HTTP,426.4926758092642,26.212318598542403
568869.5706593511,1270.2859260528012,27.70609255931972,18198,3306,0.023798382023951743,2024-01-01 00:22:00,UDP,428.6320967075749,42.95564456559555
295752.94669026753,1008.71771363693,29.565230501861375,43622,443,0.018673375837226804,2024-01-01 00:23:00,HTTP,254.67276409018268,38.0223563338928
452218.6485695273,939.6044476803636,14.688924974442779,60199,5432,0.022831710053363638,2024-01-01 00:24:00,HTTP,442.96539777657915,64.29426959289876
